NUMERO_REGISTRAZIONE,FORMULATO COMMERCIALE,PRODUTTORE,SOSTANZE_ATTIVE,SOSTANZA ATTIVA_PER_100G_DI_PRODOTTO
12719,GREENPY,COPYR S.P.A.,PYRETHRINS,0.2 g
12720,CAPTANO ARYSTA 80 WG,ARYSTA LIFESCIENCE S.A.S.,CAPTAN,80.0 g
12721,GRIMPER,NUFARM ITALIA S.R.L.,TRIBENURON,79.0 %
12722,OSSICLOR 20 FLOW,MANICA S.P.A.,COPPER OXYCHLORIDE,20.0 g
12722,OSSICLOR 20 FLOW,MANICA S.P.A.,COPPER OXYCHLORIDE,20.0 g
12723,OSSICLOR 20 BLU FLOW,MANICA S.P.A.,COPPER OXYCHLORIDE,20.0 g
12724,GLUFOSAM,EURO TSA S.R.L.,GLUFOSINATE,11.0 g
12725,STORE,EURO TSA S.R.L.,CHLOROTOLURON|DIFLUFENICAN,36.0 g|2.0 g
12726,RETIN,GOWAN ITALIA S.R.L.,TRIFLUMURON,39.0 g
12727,CUPRORAM 40,AGRIPLANT S.R.L.,COPPER OXYCHLORIDE,40.0 g
12728,ROTARY MIX,GREEN RAVENNA S.R.L.,PIPERONYL BUTOXIDE|ROTENONE|PYRETHRINS,2.0 g|2.0 g|0.5 g
12729,BLENET,AGRIMIX S.R.L.,DICLOFOP-METHYL|MEFENPYR DIETHYL|FENOXAPROP-P-ETHYL,23.0 g|3.0 g|2.0 g
12730,BATER,ADAMA ITALIA S.R.L.,FOLPET|METALAXYL,40.0 g|10.0 g
12731,MICLOTOP PROGRESS,SHARDA CROPCHEM LIMITED,MYCLOBUTANIL,4.2 g
12732,THIOCUR SULPHUR,DOW AGROSCIENCES ITALIA S.R.L.,MYCLOBUTANIL|SULPHUR (ZOLFO),1.0 g|50.0 g
12734,JUPITER R DF,ISAGRO S.P.A.,FOSETYL-ALUMINIUM|COPPER OXYCHLORIDE,25.0 g|25.0 g
12736,RAME CAFFARO PLUS BLU,ISAGRO S.P.A.,COPPER OXYCHLORIDE,32.0 g
12737,AIRONE PIU',ISAGRO S.P.A.,COPPER OXYCHLORIDE,28.0 g
12738,KING 360 HP,DIACHEM S.P.A.,TRIBASIC COPPER SULFATE,24.0 g
12739,PREMIERE T-DG,DOW AGROSCIENCES ITALIA S.R.L.,TRIFLURALIN|ISOXABEN,2.0 g|0.5 g
12740,AXIT GR,DOW AGROSCIENCES ITALIA S.R.L.,TRIFLURALIN|ISOXABEN,2.0 g|0.5 g
12741,GEMINISTAR,DOW AGROSCIENCES ITALIA S.R.L.,FLUROXYPYR|FLORASULAM,14.6 g|0.1 g
12742,BETANAL QUATTRO,BAYER CROPSCIENCE S.R.L.,ETHOFUMESATE|PHENMEDIPHAM|METAMITRON|DESMEDIPHAM,9.0 g|5.0 g|18.0 g|2.0 g
12743,BENFUR,CHEMIA S.P.A.,BENFURACARB,2.0 g
12745,MANTIR GO,INDOFIL INDUSTRIES (NETHERLANDS) B.V.,MANCOZEB,75.0 g
12746,DITHANE M-45 WP,INDOFIL INDUSTRIES (NETHERLANDS) B.V.,MANCOZEB,80.0 g
12747,RAMETTE,ISAGRO S.P.A.,COPPER OXYCHLORIDE,37.5 g
12748,GRIFON PIU',ISAGRO S.P.A.,COPPER OXYCHLORIDE,28.0 g
12749,MANZATE 75 DF,DU PONT DE NEMOURS ITALIANA S.R.L.,MANCOZEB,75.0 g
12750,TAMIFUM FORTE,EASTMAN ITALIA S.R.L.,METAM POTASSIUM,54.0 g
12751,UPPERCUT,AGRIPHAR ITALIA S.R.L.,HEXYTHIAZOX|DICOFOL,2.1 g|18.8 g
12752,SANAPLANT,ARYSTA LIFESCIENCE BENELUX SPRL,PROPAMOCARB,0.1 g
12754,VERDRAM HI BIO,ALBAUGH UK LTD.,COPPER OXYCHLORIDE,30.0 g
12755,GENOXONE ZX,ARYSTA LIFESCIENCE BENELUX SPRL,"TRICLOPYR|2,4-D",15.7 g|15.3 g
12756,DICOTEX,ARYSTA LIFESCIENCE BENELUX SPRL,"MCPA|DICAMBA|MECOPROP-P|2,4-D",6.6 g|1.9 g|4.0 g|6.6 g
12757,MISSOURI,ROCCA FRUTTA S.R.L.,FLUFENOXURON,4.7 g
12758,BIF,AGRIMIX S.R.L.,BIFENTHRIN,2.0 g
12759,OSSICLOR 35 WG,MANICA S.P.A.,COPPER OXYCHLORIDE,35.0 g
12759,OSSICLOR 35 WG,MANICA S.P.A.,COPPER OXYCHLORIDE,35.0 g
12760,GASTROTOX MAX,SIPCAM OXON S.P.A.,METALDEHYDE,5.0 g
12761,AGRIMIX TOP,GLOBACHEM NV,6-BENZYLADENINE,9.4 g
12762,INSETTICIDA ACARICIDA LIQUIDO,GUABER S.P.A.,CLOFENTEZINE|BIFENTHRIN,8.0 g|2.0 g
12763,PYGRAIN,NEWPHARM S.R.L.,PYRETHRINS,2.0 g
12764,FRUTTOIL,GOWAN ITALIA S.R.L.,PARAFFIN OIL/(CAS 8042-47-5),80.0 g
12765,ALISE,FMC CHEMICAL SPRL,CARBOSULFAN,5.0 g
12766,SHERIFF GRANULARE,FMC CHEMICAL SPRL,CARBOSULFAN,5.0 g
12768,SPINTOR FLY,DOW AGROSCIENCES ITALIA S.R.L.,SPINOSAD,0.0 g
12769,BASAMID TURF,CERTIS EUROPE B.V.,DAZOMET,99.0 g
12770,ALAR 85 GOLD,MAC DERMID AGRICULTURAL SOLUTIONS ITALY S.R.L.,DAMINOZIDE,85.0 g
12771,BIENSUR-EC,SCAM S.P.A.,ETOFENPROX,16.1 g
12772,MILDSPRAY,ADAMA ITALIA S.R.L.,PROPICONAZOLE,0.0 g
12773,CERTOIL,XEDA INTERNATIONAL S.A.,SOYA OIL (OLIO DI SOIA),40.0 g
12775,GEOCLEAN KST,CERTIS EUROPE B.V.,"1,3-DICHLOROPROPENE",92.5 g
12776,LERMOL 75,DOW AGROSCIENCES ITALIA S.R.L.,CLOPYRALID,9.5 g
12777,ACAR COMBI,EURO TSA S.R.L.,HEXYTHIAZOX|DICAMBA,2.0 g|16.0 g
12778,PASTA SIAPA F NC,ISAGRO S.P.A.,COPPER OXYCHLORIDE,25.0 g
12779,RAMEDIT COMBI WG,ISAGRO S.P.A.,CYMOXANIL|COPPER OXYCHLORIDE,4.0 g|40.0 g
12780,PASTA SIAPA F BLU,ISAGRO S.P.A.,COPPER OXYCHLORIDE,25.0 g
12781,PIRALID 100,GENETTI S.R.L.-GMBH,CLOPYRALID,10.0 g
12782,FLAZIMAX 125,GENETTI S.R.L.-GMBH,FLUAZIFOP-P-BUTYL,13.0 g
12783,ENOVIT METIL FLO,SIPCAM OXON S.P.A.,THIOPHANATE-METHYL,41.7 g
12784,CERCOBIN WG,SIPCAM OXON S.P.A.,THIOPHANATE-METHYL,70.0 g
12785,CHECKMATE CM-XL,SUTERRA EUROPE BIOCONTROL S.L.,"(E,E)-8,10-DODECADIEN-1-OL (CODLEMONE)",270.0 mg
12787,PIROX,SIPCAM S.P.A.,PYRETHRIN I|ROTENONE,1.2 g|1.0 g
12788,ADIGOR,SYNGENTA ITALIA S.P.A.,PLANT OILS/ RAPE SEED OIL,47.5 %
12789,TIBER STAR  75,GENETTI S.R.L.-GMBH,TRIBENURON,75.0 g
12790,IMPACT 250 SC,CHEMINOVA AGRO ITALIA S.R.L.,FLUTRIAFOL,22.7 g
12791,ZOLFO AFEPASA 95% DP,AFEPASA AZUFRERA Y FERTILIZANTES PALLARES S.A.,SULPHUR (ZOLFO),95.0 g
12792,MAGIC TANDEM,BAYER CROPSCIENCE S.R.L.,ETHOFUMESATE|PHENMEDIPHAM,17.2 g|18.1 g
12793,ZOLFO AFEPASA 80 WG,AFEPASA AZUFRERA Y FERTILIZANTES PALLARES S.A.,SULPHUR (ZOLFO),80.0 g
12794,BOLERO MICROTECH,DOW AGROSCIENCES ITALIA S.R.L.,ACETOCHLOR|DICHLORMID,36.7 g|6.1 g
12795,VEBIFEN,VEBI ISTITUTO BIOCHIMICO S.R.L.,BIFENTHRIN,2.0 g
12796,SUGAR 500,UPL EUROPE LTD,METAMITRON,43.4 g
12797,DAZOCLEAN,CERTIS EUROPE B.V.,DAZOMET,99.0 g
12799,ROXY,CHEMIA S.P.A.,CYCLOXYDIM,10.9 g
12800,DOMINO,CHEMIA S.P.A.,ETOFENPROX,15.0 g
12801,CROSS,CHEMIA S.P.A.,FENPYROXIMATE,5.0 g
12802,BLASTER,CHEMIA S.P.A.,FENBUCONAZOLE,5.0 g
12803,GONDAR,ROTAM AGROCHEMICAL EUROPE LIMITED,NICOSULFURON,4.2 g
12804,SIERRARON,DIACHEM S.P.A.,DICHLOBENIL,7.0 g
12805,FILEX,ICL ITALIA TREVISO S.R.L.,PROPAMOCARB,66.6 g
12806,FEDOR,BAYER CROPSCIENCE S.R.L.,METRIBUZIN|FLUFENACET (FORMERLY FLUTHIAMIDE),14.0 g|42.0 g
12807,ZARGON SC,DOW AGROSCIENCES ITALIA S.R.L.,OXYFLUORFEN,41.0 g
12808,GLOBAL SC,DOW AGROSCIENCES ITALIA S.R.L.,OXYFLUORFEN,480.0 g
12809,FULCRUM,BAYER CROPSCIENCE S.R.L.,TERBUTHYLAZINE|ISOXAFLUTOLE,34.4 g|3.4 g
12810,LIZAR 80 DF,ADAMA AGAN LTD,PROPANIL,80.0 g
12811,MERTECT,SYNGENTA ITALIA S.P.A.,THIABENDAZOLE,42.9 g
12813,MIRADOR XTRA,ADAMA ITALIA S.R.L.,AZOXYSTROBIN|CYPROCONAZOLE,18.2 g|7.3 g
12824,MERLIN EXPERT,BAYER CROPSCIENCE S.R.L.,ISOXAFLUTOLE,4.3 g
12827,PREMIER ZR,GOWAN ITALIA S.R.L.,COPPER OXYCHLORIDE|ZOXAMIDE,25.0 g|5.9 g
12828,SITOFEX,ALZCHEM TROSTBERG GMBH,FORCHLORFENURON,0.9 %
12829,CHECKMATE PTB,SUTERRA EUROPE BIOCONTROL S.L.,(E)-5-DECEN-1-YL-ACETATE|(E)-5-DECEN-1-OL,8.3 g|1.7 g
12830,CHECKMATE SF-XL,SUTERRA EUROPE BIOCONTROL S.L.,(Z)-8-DODECEN-1-YL ACETATE|(E)-8-DODECEN-1-YL ACETATE|(E)-5-DECEN-1-YL-ACETATE|(E)-5-DECEN-1-OL|(Z)-8-DODECEN-1-OL,11.9 g|0.8 g|8.3 g|0.1 g|0.1 g
12831,INSIGNIA,BASF ITALIA S.P.A.,PYRACLOSTROBIN,20.0 g
12832,OPERA,BASF ITALIA S.P.A.,PYRACLOSTROBIN|EPOXICONAZOLE,12.5 g|4.7 g
12833,ISOMATE C/OFM,CBC (EUROPE) S.R.L.,"(Z)-8-DODECEN-1-YL ACETATE|(E)-8-DODECEN-1-YL ACETATE|DODECAN-1-OL|TETRADECAN-1-OL|(E,E)-8,10-DODECADIEN-1-OL (CODLEMONE)|(Z)-8-DODECEN-1-OL",29.8 mg|1.9 mg|20.0 mg|4.0 mg|134.0 mg|0.3 mg
12834,ISONET L PLUS,CBC (EUROPE) S.R.L.,"(Z)-9-DODECEN-1-YL ACETATE|(E,Z)-7,9-DODECADIEN-1-YL ACETATE",15.0 mg|165.0 mg
12835,ISONET LE,CBC (EUROPE) S.R.L.,"(Z)-9-DODECEN-1-YL ACETATE|(E,Z)-7,9-DODECADIEN-1-YL ACETATE",190.0 mg|190.0 mg
12836,ISONET Z,CBC (EUROPE) S.R.L.,"(E,Z)-2,13-OCTADECADIEN-1-YL ACETATE|(E,Z)-3,13-OCTADECADIENYL ACETATE",68.0 mg|2.0 mg
12837,ARIUS SYSTEM PLUS,DOW AGROSCIENCES ITALIA S.R.L.,MYCLOBUTANIL|QUINOXYFEN,3.8 %|4.0 %
12838,ECODIAN ANARSIA,ISAGRO S.P.A.,(E)-5-DECEN-1-YL-ACETATE|(E)-5-DECEN-1-OL,8.8 mg|1.7 mg
12839,ECODIAN STAR,ISAGRO S.P.A.,"(Z)-8-DODECEN-1-YL ACETATE|(E)-8-DODECEN-1-YL ACETATE|(E,E)-8,10-DODECADIEN-1-OL (CODLEMONE)|(Z)-8-DODECEN-1-OL",0.7 %|0.0 %|1.0 %|0.0 %
12840,SUCCESSOR 600,CHEMINOVA DEUTSCHLAND GMBH & CO. KG,PETHOXAMID,56.6 g
12841,SUCCESSOR T,CHEMINOVA DEUTSCHLAND GMBH & CO. KG,TERBUTHYLAZINE|PETHOXAMID,23.4 g|28.0 g
12843,CHECKMATE CM-F,SUTERRA EUROPE BIOCONTROL S.L.,"(E,E)-8,10-DODECADIEN-1-OL (CODLEMONE)",14.3 g
12844,CHECKMATE OFM-F,SUTERRA EUROPE BIOCONTROL S.L.,(Z)-8-DODECEN-1-YL ACETATE|(E)-8-DODECEN-1-YL ACETATE|(Z)-8-DODECEN-1-OL,21.9 g|1.5 g|0.3 g
12845,AXIAL,SYNGENTA ITALIA S.P.A.,CLOQUINTOCET MEXYL|PINOXADEN,2.4 g|9.7 g
12846,CRUISER 600 FS SB,SYNGENTA ITALIA S.P.A.,THIAMETHOXAM,47.6 g
12847,EAGLE,SBM DEVELOPPEMENT S.A.S.,CYPERMETHRIN,9.8 g
12848,R6 ERRESEI SB-R42 WG,UPL EUROPE LTD,MANCOZEB|COPPER SULFATE,30.0 g|12.0 g
12849,BENPROP PRO,ADAMA MAKHTESHIM LTD,PROCHLORAZ|PROPICONAZOLE,34.8 g|7.8 g
12850,PRADO,ADAMA MAKHTESHIM LTD,PROCHLORAZ,35.6 g
12852,FELIX,ADAMA MAKHTESHIM LTD,PROPICONAZOLE,23.1 g
12853,SONG,ADAMA DEUTSCHLAND GMBH,METRIBUZIN,35.0 g
12854,GRIFON SC,ISAGRO S.P.A.,COPPER OXYCHLORIDE,20.0 g
12855,CRIORAM WG,ISAGRO S.P.A.,COPPER OXYCHLORIDE,38.0 g
12856,CUPRORAM 25 FLOW,ISAGRO S.P.A.,COPPER OXYCHLORIDE,25.0 g
12857,PROREX,GLOBACHEM NV,GIBBERELLINS (A4+A7)|6-BENZYLADENINE,1.8 g|1.8 g
12858,PRODIGY,DOW AGROSCIENCES ITALIA S.R.L.,METHOXYFENOZIDE,22.5 g
12859,BORNEO,SUMITOMO CHEMICAL AGRO EUROPE S.A.S.,ETOXAZOLE,10.7 g
12860,MILBEKNOCK,BELCHIM CROP PROTECTION NV/SA,MILBEMECTIN,1.0 g
12861,RIMON 10 EC,ADAMA MAKHTESHIM LTD,NOVALURON,9.0 g
12862,CANTUS,BASF ITALIA S.P.A.,BOSCALID (FORMERLY NICOBIFEN),50.0 g
12863,FLORAMITE 240 SC,MAC DERMID AGRICULTURAL SOLUTIONS ITALY S.R.L.,BIFENAZATE,22.7 g
12864,PONCHO,BAYER CROPSCIENCE S.R.L.,CLOTHIANIDIN,47.6 g
12865,DANTOP 50 WG,SUMITOMO CHEMICAL AGRO EUROPE S.A.S.,CLOTHIANIDIN,50.0 g
12866,COLLIS,BASF ITALIA S.P.A.,KRESOXIM-METHYL|BOSCALID (FORMERLY NICOBIFEN),9.1 g|18.2 g
12867,SMARTFRESH,AGROFRESH HOLDING FRANCE SAS,1-METHYL-CYCLOPROPENE,3.3 %
12868,BELLIS,BASF ITALIA S.P.A.,PYRACLOSTROBIN|BOSCALID (FORMERLY NICOBIFEN),12.8 g|25.2 g
12869,SIGNUM,BASF ITALIA S.P.A.,PYRACLOSTROBIN|BOSCALID (FORMERLY NICOBIFEN),6.7 g|26.7 g
12870,FANTIC M BLU,ISAGRO S.P.A.,MANCOZEB|BENALAXYL-M,65.0 g|4.0 g
12873,FANTIC F WG,ISAGRO S.P.A.,FOLPET|BENALAXYL-M,48.0 g|3.8 g
12874,PONCHO BETA,BAYER CROPSCIENCE S.R.L.,BETA-CYFLUTHRIN  |CLOTHIANIDIN,4.5 g|33.3 g
12876,ECODIAN CIDIA FUNEBRANA,ISAGRO S.P.A.,(Z)-8-DODECEN-1-YL ACETATE,0.8 %
12878,FOLPAN GOLD,ADAMA ITALIA S.R.L.,FOLPET|METALAXYL-M,40.0 g|4.9 g
12879,UNIVERSALIS,SYNGENTA ITALIA S.P.A.,FOLPET|AZOXYSTROBIN,39.1 g|7.3 g
12880,ATLANTIS WG,BAYER CROPSCIENCE S.R.L.,MEFENPYR DIETHYL|MESOSULFURON-METHYL|IODOSULFURON METHYL SODIUM,9.0 g|3.0 g|0.6 g
12881,HUSSAR MAXX,BAYER CROPSCIENCE S.R.L.,MEFENPYR DIETHYL|MESOSULFURON-METHYL|IODOSULFURON METHYL SODIUM,9.0 g|3.0 g|3.0 g
12882,ATLANTIS,BAYER CROPSCIENCE S.R.L.,MEFENPYR DIETHYL|MESOSULFURON-METHYL,9.0 g|3.0 g
12883,PROSPER 300 CS,BAYER CROPSCIENCE S.R.L.,SPIROXAMINE,30.6 g
12884,BATAM,BAYER CROPSCIENCE S.R.L.,SPIROXAMINE,50.0 g
12885,KELION 50 WG,NICHINO EUROPE CO LTD,ORTHOSULFAMURON,50.0 g
12886,KARATHANE STAR,DOW AGROSCIENCES ITALIA S.R.L.,MEPTYLDINOCAP,35.7 g
12887,WORMOX,INTRACHEM BIO ITALIA S.P.A.,BACILLUS THURINGIENSIS SUBSP. KURSTAKI STRAIN EG 2348,4.5 g
12888,LEPINOX PLUS,CBC (EUROPE) S.R.L.,BACILLUS THURINGIENSIS SUBSP. KURSTAKI STRAIN EG 2348,37.5 g
12889,PICKER SC,PROPLAN PLANT PROTECTION COMPANY S.L.,HEXYTHIAZOX,24.0 g
12890,REDHAVEN,NUFARM ITALIA S.R.L.,BUPIRIMATE,25.6 g
12891,DOMINATOR,NUFARM ITALIA S.R.L.,CYROMAZINE,78.1 g
12892,AKENATON,ROCCA FRUTTA S.R.L.,CYPROCONAZOLE,10.0 g
12893,MING 75 WG,ROCCA FRUTTA S.R.L.,TRIBENURON|RIMSULFURON (AKA RENRIDURON),75.0 g|25.0 g
12894,ALFASPRAY,ADAMA ITALIA S.R.L.,PROPICONAZOLE,0.0 g
12898,POLVERE CAFFARO NEW,ISAGRO S.P.A.,CALCIUM COPPER OXYCHLORIDE,16.0 g
12899,SIMEX PRONTO USO,ZAPI INDUSTRIE CHIMICHE S.P.A.,PENCONAZOLE,0.2 g
12900,MELTUS,NUFARM S.A.S.,METSULFURON-METHYL,20.0 g
12901,FARO,SIPCAM ITALIA S.P.A.,THIOPHANATE-METHYL,41.7 g
12902,RAMAL FLOW,ISAGRO S.P.A.,COPPER OXYCHLORIDE,20.0 g
12903,DOLESE WG,ISAGRO S.P.A.,COPPER SULFATE,20.0 g
12904,BRAITEX,GLOBACHEM NV,6-BENZYLADENINE,9.4 g
12905,ALBENA,AIFAR AGROCHIMICA S.R.L.,1-NAPHTHYLACETIC ACID (1-NAA)|1-NAPHTHYLACETAMIDE (1-NAD)|BETA NOA,0.5 g|1.5 g|1.8 g
12906,ROCSTAR CS,ROCCA FRUTTA S.R.L.,FENITROTHION,37.5 g
12907,ACAR-CID,DIACHEM S.P.A.,DICOFOL,18.5 g
12908,SUMMIT COMBI,BAYER CROPSCIENCE S.R.L.,TRIADIMENOL|SULPHUR (ZOLFO),2.5 g|50.0 g
12909,SALIGAR,AGRIMPORT S.P.A.,CYROMAZINE,75.0 g
12910,DRIBBLING,DIACHEM S.P.A.,OXYFLUORFEN,40.7 g
12911,R6 ERRESEI TRIPLO S,SIPCAM S.P.A.,CYMOXANIL|FOSETYL-ALUMINIUM|MANCOZEB,2.0 g|33.0 g|25.0 g
12912,ELIOS TRIO,SIPCAM OXON S.P.A.,CYMOXANIL|FOSETYL-ALUMINIUM|MANCOZEB,2.0 g|33.0 g|25.0 g
12913,PROPIL 80 DF,CONAS S.R.L.,PROPANIL,80.0 g
12914,RAMEZEB BLU WP,ZAPI INDUSTRIE CHIMICHE S.P.A.,MANCOZEB|COPPER OXYCHLORIDE,30.0 g|10.0 g
12915,SUMMIT WG,BAYER CROPSCIENCE S.R.L.,TRIADIMENOL,5.0 g
12916,SACRON 45 WG,UPL EUROPE LTD,CYMOXANIL,45.0 g
12917,TROPHY EC,MONSANTO AGRICOLTURA ITALIA S.P.A.,ACETOCHLOR|FURILAZOLE,76.8 g|2.5 g
12918,CALYPSO GARDEN PROTECTOR PPO,BAYER CROPSCIENCE S.R.L.,THIACLOPRID,0.9 g
12920,AGORA,BAYER CROPSCIENCE S.R.L.,CYPROCONAZOLE|TRIFLOXYSTROBIN,13.8 g|32.3 g
12923,SIRES TRIO,AGROWIN BIOSCIENCES S.R.L.,CYMOXANIL|FOSETYL-ALUMINIUM|MANCOZEB,2.5 g|32.5 g|25.0 g
12924,JUPITER WG,HELM AG,FOSETYL-ALUMINIUM,80.0 g
12925,VEBICUR FUNGICIDA,VEBI ISTITUTO BIOCHIMICO S.R.L.,COPPER OXYCHLORIDE|PENCONAZOLE,0.5 g|0.1 g
12927,VEBICUR INSETTICIDA ANTICOCCINIGLIA,VEBI ISTITUTO BIOCHIMICO S.R.L.,MALATHION|PARAFFIN OIL/(CAS 8012-95-1),0.2 g|1.0 g
12928,SOLANI,TECOMAG S.R.L.,METAMITRON,70.0 g
12929,EQUIS,BIOLCHIM S.P.A.,6-BENZYLADENINE,9.5 g
12930,GAVELAN,BASF ITALIA S.P.A.,IPRODIONE,43.2 g
12931,FUNGI MZ DF,INDOFIL INDUSTRIES LTD,MANCOZEB,75.0 g
12932,OXFORD COP,DU PONT DE NEMOURS ITALIANA S.R.L.,CYMOXANIL|COPPER OXYCHLORIDE,4.2 g|39.8 g
12933,MOXYL 20 WP,DU PONT DE NEMOURS ITALIANA S.R.L.,CYMOXANIL,20.0 g
12934,LARIEM C20,DU PONT DE NEMOURS ITALIANA S.R.L.,CYMOXANIL,20.0 g
12935,SCORE,GENETTI S.R.L.-GMBH,DIFENOCONAZOLE,23.9 g
12936,ECODIAN CARPOCAPSA,ISAGRO S.P.A.,"(E,E)-8,10-DODECADIEN-1-OL (CODLEMONE)",-
12937,ROTAX POLVERE,ITAL-AGRO S.R.L.,ROTENONE,1.0 g
12938,COMPO ACARICIDA RTU,COMPO ITALIA S.R.L.,DICOFOL,0.0 g
12939,BETAS,TECOMAG S.R.L.,PHENMEDIPHAM,16.0 g
12940,KARATE ZEON 1.5,SYNGENTA ITALIA S.P.A.,LAMBDA-CYHALOTHRIN,1.5 g
12941,BORZOL COMBI NC,ISAGRO S.P.A.,MANCOZEB|COPPER OXYCHLORIDE,30.0 g|10.0 g
12942,ARIEL,EURO TSA S.R.L.,FENOXAPROP-P-ETHYL,6.6 g
12945,SLOT,CHEMIA S.P.A.,CHLORSULFURON,75.0 g
12946,FLUVAL,DIACHEM S.P.A.,TAU-FLUVALINATE,21.4 g
12947,DEDALUS COMBI G,ADAMA ITALIA S.R.L.,SULPHUR (ZOLFO)|TEBUCONAZOLE,70.0 g|4.5 g
12948,EVERGREEN EC,CBC (EUROPE) S.R.L.,PIPERONYL BUTOXIDE|PYRETHRIN I,60.0 g|6.0 g
12949,AZUPEC 80 WG,ASCENZA AGRO S.A.,SULPHUR (ZOLFO),80.0 g
12950,BENTRIN,EURO TSA S.R.L.,BIFENTHRIN,2.0 g
12951,COPPERCIM P.B.,DIACHEM S.P.A.,CYMOXANIL|TRIBASIC COPPER SULFATE,2.9 g|18.0 g
12952,DISCUS TOP,BASF ITALIA S.P.A.,METIRAM|KRESOXIM-METHYL,59.0 %|8.5 %
12953,ARAMO 50,BASF ITALIA S.P.A.,TEPRALOXYDIM,5.3 %
12954,SPECTRUM,BASF ITALIA S.P.A.,DIMETHENAMID-P,63.9 g
12956,BORZOL COMBI,ISAGRO S.P.A.,MANCOZEB|COPPER OXYCHLORIDE,30.0 g|10.0 g
12957,RAME 40% WG,IQV ITALIA S.R.L.,COPPER OXYCHLORIDE,40.0 g
12959,ASPOR RAMATO 30-10,ISAGRO S.P.A.,MANCOZEB|COPPER OXYCHLORIDE,30.0 g|10.0 g
12960,STARPROP,CHEMINOVA AGRO ITALIA S.R.L.,FENOXAPROP-P-ETHYL,6.7 g
12961,HEREU,ASCENZA AGRO S.A.,OXYFLUORFEN,22.0 g
12962,TRAVEL,BE DI BR BUSOLIN ELIGIO DI BUSOLIN RODOLFO,GLUFOSINATE,11.0 g
12963,MERLIN 750 WG,CONSORZIO AGRARIO PROVINCIALE DI PARMA,ISOXAFLUTOLE,75.0 g
12964,MERLIN 750 WG,CONSORZIO AGRARIO PROVINCIALE DI PARMA,ISOXAFLUTOLE,75.0 g
12966,ITEM FLO,CHEMIA S.P.A.,THIOPHANATE-METHYL,38.0 g
12967,DICOFOX,CHEMIA S.P.A.,HEXYTHIAZOX|DICOFOL,2.0 g|16.0 g
12968,GOTICO,DU PONT DE NEMOURS ITALIANA S.R.L.,METHOMYL,19.0 g
12969,KATROCET,DU PONT DE NEMOURS ITALIANA S.R.L.,AZIMSULFURON,50.0 g
12970,ASPOR RAMATO 30-10 BLU,ISAGRO S.P.A.,MANCOZEB|COPPER OXYCHLORIDE,30.0 g|10.0 g
12971,KIRAN MIX,TECNITERRA S.R.L.,HEXYTHIAZOX|DICOFOL,2.0 g|16.0 g
12972,GLYFOS DAKAR,CHEMINOVA A/S,GLYPHOSATE,68.0 g
12973,GLYFOS RAPID,CHEMINOVA A/S,GLYPHOSATE,37.6 g
12975,STEALTH CU,DU PONT DE NEMOURS ITALIANA S.R.L.,CYMOXANIL|COPPER OXYCHLORIDE,4.2 g|39.8 g
12976,STEALTH MZ,DU PONT DE NEMOURS ITALIANA S.R.L.,CYMOXANIL|MANCOZEB,4.0 g|40.0 g
12977,CLEAN SOIL LIQUID,CHEMTURA ITALY S.R.L.,DICHLOBENIL,15.3 g
12978,CURZEB 4-40 PB,DU PONT DE NEMOURS ITALIANA S.R.L.,CYMOXANIL|MANCOZEB,4.0 g|40.0 g
12979,CURAME 4-40,DU PONT DE NEMOURS ITALIANA S.R.L.,CYMOXANIL|COPPER OXYCHLORIDE,4.2 g|39.8 g
12980,CONQUEST,SUMITOMO CHEMICAL AGRO EUROPE S.A.S.,GIBBERELLINS (A4+A7)|6-BENZYLADENINE,1.8 g|1.8 g
12981,DIVAPAN 51,EASTMAN ITALIA S.R.L.,METAM SODIUM,42.1 g
12983,MEDEIRO M,ASCENZA AGRO S.A.,FOSETYL-ALUMINIUM|MANCOZEB,35.0 g|35.0 g
12985,BAGNANTE MANICA,CHEMIA S.P.A.,SODIUM DIOCTYL SULFOSUCCINATE,10.0 g
12987,PIRICHEM GR,CHEMINOVA AGRO ITALIA S.R.L.,CHLORPYRIFOS,5.0 g
12988,CENTURY,CHEMIA S.P.A.,TRIFLUMURON,39.4 g
12989,GIBB PLUS,GLOBACHEM NV,GIBBERELLINS (A4+A7),1.0 g
12990,FOSKEM,CHEMIA S.P.A.,FOSETYL-ALUMINIUM,80.0 g
12991,A.K. 20,AGRIPHAR ITALIA S.R.L.,DICOFOL,22.0 g
12992,BAGNANTE PLUS,CHEMIA S.P.A.,SORBITAN MONO OLEATO ETOSSILATO,12.0 g
12993,DU CASON LIQUID,CHEMTURA ITALY S.R.L.,DICHLOBENIL,15.3 g
12994,VIVER ELITE WG,NUFARM ITALIA S.R.L.,TEBUCONAZOLE,25.0 g
12995,RADICO,NATAN S.R.L.,1-NAPHTHYLACETIC ACID (1-NAA),0.5 g
12996,CIMORAM BLU,UPL EUROPE LTD,CYMOXANIL|BORDEAUX MIXTURE,4.0 g|20.0 g
12997,MICOCUR TRIPLO,SIVAM S.P.A.,CYMOXANIL|FOSETYL-ALUMINIUM|MANCOZEB,2.5 g|32.5 g|25.0 g
12999,SECTHION,SIVAM S.P.A.,DITHIANON,66.0 g
13000,HURRICANE,SIVAM S.P.A.,DICHLOBENIL,6.8 g
13001,MAICOL 240,SIVAM S.P.A.,DICAMBA,21.2 g
